X,Y,osm_id,code,fclass,year,
116.3972168,39.9382082,32850098,2401,hotel,2021,
116.4497585,39.9311036,60170164,2515,bookshop,2021,
116.4497585,39.9311036,60170164,2301,restaurant,2021,
116.385751,39.9325265,269491228,2721,attraction,2021,
116.267504,39.9808692,269492188,2901,toilet,2021,
116.4283525,39.9061804,269693885,2721,attraction,2021,
116.4102928,39.9137064,269698692,2401,hotel,2021,
116.3828466,39.9216052,269703105,2721,attraction,2021,
116.3826639,39.9254171,269704412,2721,attraction,2021,
116.2734196,39.9894163,269708600,2721,attraction,2021,
116.3022486,40.0123565,269719790,2721,attraction,,
116.3066351,40.0121153,269720154,2721,attraction,,
116.3941884,39.917101,271287530,2721,attraction,,
116.155674,39.9362881,271818150,2722,museum,,
116.167367,39.9936878,271822696,2724,memorial,,
116.1880374,39.9949356,271824587,2907,camera_surveillance,2021,
116.1923321,39.9941343,271824592,2907,camera_surveillance,2021,
116.1971496,39.9928976,271824596,2907,camera_surveillance,2021,
116.4493255,39.9314345,272576435,2303,cafe,2021,
116.3971202,39.9357763,273092476,2301,restaurant,,
116.4492086,39.9252941,273110892,2304,pub,2021,
116.4520067,39.9315469,273111613,2301,restaurant,2021,
116.4736839,39.9217876,274748336,2302,fast_food,2021,
116.2735788,39.9966395,274942287,2901,toilet,2021,
116.2723183,39.9970578,274942596,2742,viewpoint,2021,
116.2729818,39.996505,274942613,2742,viewpoint,2021,
116.3375568,39.9754108,276320137,2302,fast_food,2021,
116.3373829,39.9754334,276320141,2511,convenience,2021,
116.3256167,39.9404186,276581657,2901,toilet,2021,
116.3322186,39.9386265,276581988,2724,memorial,2021,
116.136977,39.9638815,277139450,2901,toilet,2021,
116.4003691,39.9924549,277632174,2401,hotel,2021,
116.1913146,39.9948525,281141300,2907,camera_surveillance,2021,
116.1848246,40.0024139,281141972,2732,ruins,,
116.31345,40.0313169,281923955,2302,fast_food,2021,
116.3071297,40.028882,281925692,2601,bank,2021,
116.3071623,40.0287913,281925699,2302,fast_food,2021,
116.1639166,39.9684333,283334013,2732,ruins,2021,
116.1638667,39.9702333,283334059,2303,cafe,2021,
116.1636667,39.9703167,283334073,2732,ruins,2021,
116.18135,39.9780167,283336457,2742,viewpoint,,
116.1712775,39.9695834,283340762,2742,viewpoint,2021,
116.1726,39.96765,283491985,2742,viewpoint,,
116.1555667,39.9336,283642094,2732,ruins,2021,
116.1518547,39.9335741,283642585,2722,museum,,
116.1517166,39.9343,283643830,2742,viewpoint,,
116.1662333,39.9748001,285042998,2901,toilet,2021,
116.1731166,39.9809,285939361,2732,ruins,,
116.2012172,40.0031291,286237814,2907,camera_surveillance,2021,
116.1978603,40.0175766,286240907,2742,viewpoint,2021,
116.1998217,40.0067002,286242547,2901,toilet,2021,
116.1998837,40.0068002,286243121,2742,viewpoint,2021,
116.2029021,39.9978689,286246121,2906,waste_basket,2021,
116.1990001,40.0071501,286246708,2742,viewpoint,,
116.1976836,40.0088499,286251707,2742,viewpoint,2021,
116.2023833,39.9997499,286251830,2742,viewpoint,,
116.3186344,40.0486722,286279253,2501,supermarket,,
116.3050666,40.0291835,286279448,2005,post_office,2021,
116.3064166,40.0109999,288643686,2721,attraction,,
116.3064166,40.0109999,288643686,2732,ruins,,
116.3095683,40.0097719,288644164,2721,attraction,,
116.3019833,40.0347333,289094945,2511,convenience,2021,
